#Column	name	(A22)	Source name in the format '2CXO Jhhmmss.s{+|-}ddmmss[X]'	(master_source.name)	[""]	[]
#Column	ra	(A12)	Source position, ICRS right ascension	(master_source.ra)	[""]	[pos.eq.ra;meta.main]
#Column	dec	(A11)	Source position, ICRS declination	(master_source.dec)	[""]	[pos.eq.dec;meta.main]
#Column	gal_l	(F9.5)	Source position, Galactic longitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_l)	["deg"]	[pos.galactic.lon]
#Column	gal_b	(F9.5)	Source position, Galactic latitude (equinox J2000.0, epoch J2000.0)	(master_source.gal_b)	["deg"]	[pos.galactic.lat]
#Column	err_ellipse_r0	(F7.2)	Major radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r0)	["arcsec"]	[]
#Column	err_ellipse_r1	(F9.2)	Minor radius of the 95% confidence level position error ellipse	(master_source.err_ellipse_r1)	["arcsec"]	[]
#Column	err_ellipse_ang	(F9.1)	Position angle (ref. local true north) of the major axis of the 95% confidence level error ellipse	(master_source.err_ellipse_ang)	["deg"]	[]
#Column	likelihood	(E9.6)	Highest detection log likelihood across all stacked observations and energy bands	(master_source.likelihood)	[""]	[]
#Column	pileup_flag	(A5)	ACIS pile-up fraction exceeds ~ 10% in all observations; source properties may be affected	(master_source.pileup_flag)	[""]	[]
#Column	significance	(F9.2)	Highest flux significance (S/N) across all stacked observations and energy bands	(master_source.significance)	[""]	[]
#Column	powlaw_nh	(G9.4)	N_H column density of the best fitting  absorbed power-law model spectrum to the source region aperture PI spectrum	(master_source.powlaw_nh)	["10^20/cm^2"]	[]
#Column	powlaw_nh_lolim	(G9.4)	N_H column density of the best fitting  absorbed power-law model spectrum to the source region aperture PI spectrum (68% lower confidence limit)	(master_source.powlaw_nh_lolim)	["10^20/cm^2"]	[]
#Column	powlaw_nh_hilim	(G9.4)	N_H column density of the best fitting  absorbed power-law model spectrum to the source region aperture PI spectrum (68% upper confidence limit)	(master_source.powlaw_nh_hilim)	["10^20/cm^2"]	[]
#Column	nh_gal	(G9.4)	Galactic N_H column density in direction of source	(master_source.nh_gal)	["10^20/cm^2"]	[]
name	ra	dec	gal_l	gal_b	err_ellipse_r0	err_ellipse_r1	err_ellipse_ang	likelihood	pileup_flag	significance	powlaw_nh	powlaw_nh_lolim	powlaw_nh_hilim	nh_gal
 2CXO J122829.5+170505	 12 28 29.59	+17 05 05.77	273.91155	 78.64216	   0.30	     0.30	    109.6	1.109012e+03	FALSE	    13.18	    11.35	    6.141	    29.46	    2.390
 2CXO J151215.7+020317	 15 12 15.76	+02 03 17.08	  2.35457	 47.99404	   0.29	     0.29	     95.6	2.693202e+03	FALSE	    20.59	    4.990	    3.939	    14.17	    3.940
 2CXO J063005.3+054540	 06 30 05.30	+05 45 40.83	205.36806	 -2.09720	   0.29	     0.29	     99.9	1.952995e+03	FALSE	    15.55	    12.69	    5.106	    30.93	    70.79
 2CXO J063333.2+060839	 06 33 33.22	+06 08 39.53	205.42610	 -1.15605	   0.30	     0.29	     91.7	1.595324e+03	FALSE	    15.05	    66.68	    11.15	    146.0	    65.49
 2CXO J104244.6+120331	 10 42 44.61	+12 03 31.09	233.12437	 56.30044	   0.29	     0.29	     89.6	8.825358e+03	FALSE	    36.63	    2.559	    2.038	    7.218	    2.870
 2CXO J041628.1+280735	 04 16 28.10	+28 07 35.38	168.63329	-16.03586	   0.29	     0.29	      0.2	1.785372e+04	FALSE	    50.25	    28.63	    2.214	    59.60	    10.92
 2CXO J120929.8+434106	 12 09 29.80	+43 41 06.98	147.30487	 71.40383	   0.29	     0.29	     22.4	4.967531e+03	FALSE	    25.33	    761.2	    91.56	     1623	    1.300
 2CXO J042157.4+282635	 04 21 57.41	+28 26 35.22	169.25507	-14.93988	   0.29	     0.29	     84.8	6.208656e+04	FALSE	    97.91	    45.57	    1.800	    93.02	    14.03
 2CXO J043354.7+261327	 04 33 54.70	+26 13 27.46	172.79422	-14.43933	   0.29	     0.29	     81.0	3.159489e+03	FALSE	    22.29	    73.68	    6.928	    154.9	    16.72
 2CXO J095738.1+552257	 09 57 38.18	+55 22 57.66	158.59863	 47.92821	   0.29	     0.29	     94.1	1.845510e+04	FALSE	    50.28	    2.358	    1.407	    6.155	   0.8900
 2CXO J194539.3+272155	 19 45 39.34	+27 21 55.34	 63.20709	  1.39560	   0.30	     0.29	     84.1	1.065975e+03	FALSE	    12.15	    80.44	    25.30	    190.9	    107.9
 2CXO J132400.8+573916	 13 24 00.90	+57 39 16.33	114.48511	 58.93627	   0.29	     0.29	     86.6	3.221587e+03	FALSE	    21.02	    4.976	    4.046	    14.25	    1.360
 2CXO J135644.1-621548	 13 56 44.14	-62 15 48.83	310.44871	 -0.34858	   3.30	     2.36	     85.7	4.290808e+02	FALSE	    11.72	    77.47	    18.22	    176.9	    216.6
 2CXO J083745.0+651335	 08 37 45.01	+65 13 35.31	150.34405	 35.51225	   0.30	     0.29	      7.4	1.978426e+03	FALSE	    17.09	    6.783	    5.103	    19.08	    4.270
 2CXO J143308.3-611540	 14 33 08.33	-61 15 40.03	314.84629	 -0.76428	   0.33	     0.31	    131.9	3.345333e+03	FALSE	    20.92	    138.2	    38.78	    323.5	    165.9
 2CXO J194935.4+301231	 19 49 35.46	+30 12 31.80	 66.09895	  2.08366	   0.29	     0.29	    178.4	2.693361e+03	FALSE	    20.27	    81.40	    21.57	    192.2	    103.3
